sku,name,category,subcategory,has_image,description_length,issues
14-544-01,"14-544-01",Uncategorized,General,no,42,"no-image; short-desc; uncategorized"
15-154-05,"15-154-05",Uncategorized,General,no,40,"no-image; short-desc; uncategorized"
15-154-07,"15-154-07",Uncategorized,General,no,40,"no-image; short-desc; uncategorized"
18-170-15,"18-170-15",Uncategorized,General,no,44,"no-image; short-desc; uncategorized"
20-316-20,"20-316-20",Uncategorized,General,no,49,"no-image; short-desc; uncategorized"
23-168-30,"23-168-30",Uncategorized,General,no,49,"no-image; short-desc; uncategorized"
23-334-26,"23-334-26",Uncategorized,General,no,44,"no-image; short-desc; uncategorized"
25-122-11,"25-122-11",Uncategorized,General,no,35,"no-image; short-desc; uncategorized"
25-282-02,"25-282-02",Uncategorized,General,no,36,"no-image; short-desc; uncategorized"
28-296-02,"28-296-02",Uncategorized,General,no,42,"no-image; short-desc; uncategorized"
28-296-03,"28-296-03",Uncategorized,General,no,42,"no-image; short-desc; uncategorized"
28-296-04,"28-296-04",Uncategorized,General,no,42,"no-image; short-desc; uncategorized"
28-296-05,"28-296-05",Uncategorized,General,no,42,"no-image; short-desc; uncategorized"
28-296-06,"28-296-06",Uncategorized,General,no,42,"no-image; short-desc; uncategorized"
28-296-07,"28-296-07",Uncategorized,General,no,42,"no-image; short-desc; uncategorized"
28-296-08,"28-296-08",Uncategorized,General,no,42,"no-image; short-desc; uncategorized"
28-296-09,"28-296-09",Uncategorized,General,no,42,"no-image; short-desc; uncategorized"
28-296-10,"28-296-10",Uncategorized,General,no,42,"no-image; short-desc; uncategorized"
28-296-11,"28-296-11",Uncategorized,General,no,43,"no-image; short-desc; uncategorized"
28-296-12,"28-296-12",Uncategorized,General,no,43,"no-image; short-desc; uncategorized"
28-300-02,"28-300-02",Uncategorized,General,no,38,"no-image; short-desc; uncategorized"
28-300-03,"28-300-03",Uncategorized,General,no,38,"no-image; short-desc; uncategorized"
28-300-04,"28-300-04",Uncategorized,General,no,38,"no-image; short-desc; uncategorized"
28-300-05,"28-300-05",Uncategorized,General,no,38,"no-image; short-desc; uncategorized"
28-300-06,"28-300-06",Uncategorized,General,no,38,"no-image; short-desc; uncategorized"
28-300-07,"28-300-07",Uncategorized,General,no,38,"no-image; short-desc; uncategorized"
28-300-08,"28-300-08",Uncategorized,General,no,38,"no-image; short-desc; uncategorized"
28-300-09,"28-300-09",Uncategorized,General,no,38,"no-image; short-desc; uncategorized"
28-300-10,"28-300-10",Uncategorized,General,no,38,"no-image; short-desc; uncategorized"
28-300-11,"28-300-11",Uncategorized,General,no,39,"no-image; short-desc; uncategorized"
28-300-12,"28-300-12",Uncategorized,General,no,39,"no-image; short-desc; uncategorized"
28-306-01,"28-306-01",Uncategorized,General,no,44,"no-image; short-desc; uncategorized"
28-306-02,"28-306-02",Uncategorized,General,no,44,"no-image; short-desc; uncategorized"
28-306-03,"28-306-03",Uncategorized,General,no,44,"no-image; short-desc; uncategorized"
28-306-04,"28-306-04",Uncategorized,General,no,45,"no-image; short-desc; uncategorized"
28-306-05,"28-306-05",Uncategorized,General,no,45,"no-image; short-desc; uncategorized"
28-306-06,"28-306-06",Uncategorized,General,no,45,"no-image; short-desc; uncategorized"
28-306-07,"28-306-07",Uncategorized,General,no,45,"no-image; short-desc; uncategorized"
29-106-P,"29-106-P",Uncategorized,General,no,34,"no-image; short-desc; uncategorized"
29-116-13,"29-116-13",Uncategorized,General,no,48,"no-image; short-desc; uncategorized"
29-141-15,"29-141-15",Uncategorized,General,no,48,"no-image; short-desc; uncategorized"
13-986-04-c,"Depth Gauge",Uncategorized,General,no,54,"no-image; uncategorized"
28-418-45,"Bedpan",Uncategorized,General,no,64,"no-image; uncategorized"
28-414-45,"Bedpan",Uncategorized,General,no,54,"no-image; uncategorized"
03-244-00,"Politzer Ear Specula Set of 4 (Fig",Uncategorized,General,no,51,"no-image; uncategorized"
20-230-16,"20-230-16",Uncategorized,General,no,52,"no-image; uncategorized"
26-198-18,"Brunings Laryngeal tube",Uncategorized,General,no,65,"no-image; uncategorized"
03-246-10,"Boucheron Ear Specula Set of 3 (Fig",Uncategorized,General,no,55,"no-image; uncategorized"
20-230-17,"20-230-17",Uncategorized,General,no,52,"no-image; uncategorized"
20-230-18,"20-230-18",Uncategorized,General,no,52,"no-image; uncategorized"
20-230-19,"20-230-19",Uncategorized,General,no,52,"no-image; uncategorized"
20-230-20,"20-230-20",Uncategorized,General,no,52,"no-image; uncategorized"
15-562-14,"St",Uncategorized,General,no,62,"no-image; uncategorized"
20-230-21,"20-230-21",Uncategorized,General,no,52,"no-image; uncategorized"
20-230-22,"20-230-22",Uncategorized,General,no,52,"no-image; uncategorized"
20-230-23,"20-230-23",Uncategorized,General,no,52,"no-image; uncategorized"
20-230-24,"20-230-24",Uncategorized,General,no,52,"no-image; uncategorized"
20-230-25,"20-230-25",Uncategorized,General,no,52,"no-image; uncategorized"
20-230-26,"20-230-26",Uncategorized,General,no,52,"no-image; uncategorized"
19-184-10,"Metal Catheter",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-184-12,"Metal Catheter",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-184-14,"Metal Catheter",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-184-16,"Metal Catheter",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
23-306-90,"Socket",Uncategorized,General,no,53,"no-image; uncategorized"
23-300-90,"Socket",Uncategorized,General,no,50,"no-image; uncategorized"
20-230-80,"20-230-80",Uncategorized,General,no,98,"no-image; uncategorized"
20-230-84,"20-230-84",Uncategorized,General,no,93,"no-image; uncategorized"
06-656-00,"Vickers Low-Profile Complete",Uncategorized,General,no,75,"no-image; uncategorized"
13-214-04,"Screw driver",Uncategorized,General,no,70,"no-image; uncategorized"
13-183-23,"Wire Cutting Plier",Uncategorized,General,no,93,"no-image; uncategorized"
19-174-10,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-12,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-14,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-16,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-18,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-20,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-22,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-24,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-26,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-28,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-30,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-32,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-34,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-174-36,"Van Buren Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,42,"no-image; short-desc; generic-category"
19-176-11,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-12,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-13,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-14,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-15,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-16,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-17,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-18,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-19,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-20,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-21,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-22,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-23,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-24,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-25,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-26,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-27,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-28,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-29,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
19-176-30,"Guyon Urethral Sound",Surgical,Liver.GallBladde.KidneyandUrology,no,40,"no-image; short-desc; generic-category"
24-143-02,"BLAKESLEY-CASTELNUOVO RHINOFORCE?ll",Uncategorized,General,no,154,"no-image; uncategorized"
20-230-90,"20-230-90",Uncategorized,General,no,98,"no-image; uncategorized"
20-230-94,"20-230-94",Uncategorized,General,no,80,"no-image; uncategorized"
24-162-02,"24-162-02",Uncategorized,General,no,72,"no-image; uncategorized"
24-164-02,"24-164-02",Uncategorized,General,no,74,"no-image; uncategorized"
14-314-20,"DeBakey Vascular Forceps",Uncategorized,,no,61,"no-image; uncategorized"
14-314-24,"DeBakey Vascular Forceps",Uncategorized,,no,61,"no-image; uncategorized"
14-314-30,"DeBakey Vascular Forceps",Uncategorized,,no,61,"no-image; uncategorized"
14-282-30,"Dardik Multi Purpose Vascular Clamp",Surgical,CardiovascularSurgery,no,49,"no-image; short-desc; generic-category"
14-282-45,"Dardik Multi Purpose Vascular Clamp",Surgical,CardiovascularSurgery,no,47,"no-image; short-desc; generic-category"
14-282-90,"Dardik Multi Purpose Vascular Clamp",Surgical,CardiovascularSurgery,no,49,"no-image; short-desc; generic-category"
20-196-25,"Breisky Vaginal Speculm",Surgical,Gynecology,no,43,"no-image; short-desc; generic-category"
20-196-30,"Breisky Vaginal Speculm",Surgical,Gynecology,no,43,"no-image; short-desc; generic-category"
20-196-35,"Breisky Vaginal Speculm",Surgical,Gynecology,no,43,"no-image; short-desc; generic-category"
20-196-40,"Breisky Vaginal Speculm",Surgical,Gynecology,no,43,"no-image; short-desc; generic-category"
28-342-10,"Buckets without Lid",Surgical,Holloware,no,26,"no-image; short-desc; generic-category"
28-342-15,"Buckets without Lid",Surgical,Holloware,no,26,"no-image; short-desc; generic-category"
28-346-10,"Buckets with Stand / Base",Surgical,Holloware,no,40,"no-image; short-desc; generic-category"
28-346-15,"Buckets with Stand / Base",Surgical,Holloware,no,40,"no-image; short-desc; generic-category"
28-344-15,"Buckets with Lid &#038; Stand / Base",Surgical,Holloware,no,38,"no-image; short-desc; generic-category"
23-314-90,"Bakelit base for Tuning Fork ref. 23-314-10",Surgical,Otology,no,43,"no-image; short-desc; generic-category"
03-242-00,"Zollner Ear Specula Set (Fig",Uncategorized,General,no,59,"no-image; uncategorized"
20-230-04,"20-230-04",Uncategorized,General,no,51,"no-image; uncategorized"
20-230-05,"20-230-05",Uncategorized,General,no,51,"no-image; uncategorized"
20-230-06,"20-230-06",Uncategorized,General,no,51,"no-image; uncategorized"
20-230-07,"20-230-07",Uncategorized,General,no,51,"no-image; uncategorized"
20-230-08,"20-230-08",Uncategorized,General,no,51,"no-image; uncategorized"
20-230-09,"20-230-09",Uncategorized,General,no,51,"no-image; uncategorized"
20-230-10,"20-230-10",Uncategorized,General,no,52,"no-image; uncategorized"
02-206-19,"02-206-19",Uncategorized,General,no,68,"no-image; uncategorized"
20-230-11,"20-230-11",Uncategorized,General,no,52,"no-image; uncategorized"
20-230-12,"20-230-12",Uncategorized,General,no,52,"no-image; uncategorized"
06-480-10,"06-480-10",Uncategorized,General,no,54,"no-image; uncategorized"
06-634-40,"06-634-40",Uncategorized,General,no,53,"no-image; uncategorized"
11-166-11,"11-166-11",Uncategorized,General,no,57,"no-image; uncategorized"
20-230-13,"20-230-13",Uncategorized,General,no,52,"no-image; uncategorized"
20-230-14,"20-230-14",Uncategorized,General,no,52,"no-image; uncategorized"
14-286-19,"14-286-19",Uncategorized,General,no,51,"no-image; uncategorized"
14-313-02,"14-313-02",Uncategorized,General,no,51,"no-image; uncategorized"
14-313-03,"14-313-03",Uncategorized,General,no,51,"no-image; uncategorized"
14-313-04,"14-313-04",Uncategorized,General,no,51,"no-image; uncategorized"
14-313-05,"14-313-05",Uncategorized,General,no,51,"no-image; uncategorized"
14-313-06,"14-313-06",Uncategorized,General,no,51,"no-image; uncategorized"
20-230-15,"20-230-15",Uncategorized,General,no,52,"no-image; uncategorized"
14-396-02,"14-396-02",Uncategorized,General,no,54,"no-image; uncategorized"
14-396-03,"14-396-03",Uncategorized,General,no,56,"no-image; uncategorized"
14-396-04,"14-396-04",Uncategorized,General,no,56,"no-image; uncategorized"
14-396-05,"14-396-05",Uncategorized,General,no,56,"no-image; uncategorized"
14-396-20,"14-396-20",Uncategorized,General,no,54,"no-image; uncategorized"
14-396-24,"14-396-24",Uncategorized,General,no,54,"no-image; uncategorized"
14-494-02,"14-494-02",Uncategorized,General,no,56,"no-image; uncategorized"
15-446-02,"15-446-02",Uncategorized,General,no,84,"no-image; uncategorized"
15-446-03,"15-446-03",Uncategorized,General,no,84,"no-image; uncategorized"
15-446-04,"15-446-04",Uncategorized,General,no,84,"no-image; uncategorized"
15-446-05,"15-446-05",Uncategorized,General,no,84,"no-image; uncategorized"
15-446-06,"15-446-06",Uncategorized,General,no,84,"no-image; uncategorized"
15-479-01,"15-479-01",Uncategorized,General,no,116,"no-image; uncategorized"
15-680-02,"15-680-02",Uncategorized,General,no,64,"no-image; uncategorized"
15-680-03,"15-680-03",Uncategorized,General,no,64,"no-image; uncategorized"
15-680-04,"15-680-04",Uncategorized,General,no,64,"no-image; uncategorized"
15-680-05,"15-680-05",Uncategorized,General,no,64,"no-image; uncategorized"
15-680-06,"15-680-06",Uncategorized,General,no,64,"no-image; uncategorized"
15-680-07,"15-680-07",Uncategorized,General,no,64,"no-image; uncategorized"
15-680-08,"15-680-08",Uncategorized,General,no,64,"no-image; uncategorized"
20-230-01,"20-230-01",Uncategorized,General,no,51,"no-image; uncategorized"
20-230-02,"20-230-02",Uncategorized,General,no,51,"no-image; uncategorized"
20-230-03,"20-230-03",Uncategorized,General,no,51,"no-image; uncategorized"
27-230-02,"27-230-02",Uncategorized,General,no,83,"no-image; uncategorized"
27-230-03,"27-230-03",Uncategorized,General,no,83,"no-image; uncategorized"
28-344-10,"Buckets with Lid &#038; Stand / Base",Surgical,Holloware,no,38,"no-image; short-desc; generic-category"
13-287-06,"Stille Osteotome",Orthopedic,Bone Cutters,no,23,"no-image; short-desc"
28-344-08,"Buckets with Lid &#038; Stand / Base",Diagnostic,Reflex Hammers,no,37,"no-image; short-desc"
28-342-08,"Buckets without Lid",Diagnostic,Reflex Hammers,no,25,"no-image; short-desc"
28-246-25,"Scalers Trays",Dental,Diagnostic & Periodontal,no,32,"no-image; short-desc"
15-566-20,"Takahashi Rongeur",Surgical,Neurosurgery.Laminectomy,no,56,"no-image; generic-category"
15-182-00,"45? Hook Semi-Sharp",Neurosurgery,Nerve Hooks,no,49,"no-image; short-desc"
15-168-00,"Rhoton-Type Elevator",Orthopedic,Periosteal Elevators,no,45,"no-image; short-desc"
15-180-00,"Rhoton-Type Hook",Neurosurgery,Nerve Hooks,no,45,"no-image; short-desc"
15-178-00,"Rhoton-Type 90? Hooks Semi-Sharp",Neurosurgery,Nerve Hooks,no,49,"no-image; short-desc"
28-346-08,"Buckets with Stand / Base",Diagnostic,Reflex Hammers,no,39,"no-image; short-desc"
18-142-16,"Doyen-Baby Intestinal Clamp",General Surgery,Clamps,no,42,"no-image; short-desc"
27-103-17,"Piriform Rim Retractor 17cm",General Surgery,Retractors,no,32,"no-image; short-desc"
18-140-16,"Doyen-Baby Intestinal Clamp",General Surgery,Clamps,no,44,"no-image; short-desc"
27-110-22,"Obwegeser Nasal Spine Retractor 10x42mm",General Surgery,Retractors,no,45,"no-image; short-desc"
27-115-08,"Mandibular Channel Retractor 8mm",General Surgery,Retractors,no,38,"no-image; short-desc"
27-116-08,"Obwegesser channel retractor",General Surgery,Retractors,no,44,"no-image; short-desc"
25-467-21,"Horch Zygoma Hook sharp",Neurosurgery,Nerve Hooks,no,35,"no-image; short-desc"
18-182-34,"Payr Intestinal Clamp",General Surgery,Clamps,no,38,"no-image; short-desc"
25-442-02,"Terry Duct Retractor",General Surgery,Retractors,no,33,"no-image; short-desc"
18-180-29,"Payr Intestinal Clamp",General Surgery,Clamps,no,38,"no-image; short-desc"
25-305-26,"Rowe Zygoma Elevator blunt",Orthopedic,Periosteal Elevators,no,40,"no-image; short-desc"
15-170-00,"Rhoton-Type Elevator",Orthopedic,Periosteal Elevators,no,45,"no-image; short-desc"
25-268-18,"Periosteal Elevator",Orthopedic,Periosteal Elevators,no,34,"no-image; short-desc"
25-221-55,"Obwegeser Tissue Ret",General Surgery,Tissue Forceps,no,46,"no-image; short-desc"
04-370-20,"Yasargil Xtended Aneurysm Clip",Neurosurgery,Micro Instruments,no,40,"no-image; short-desc"
15-700-19,"Sickle Knife",Plastic Surgery,Dermatomes,no,42,"no-image; short-desc"
25-161-14,"University of Minnesota Cheek Retractor 14cm",General Surgery,Retractors,no,49,"no-image; short-desc"
15-479-03,"Kerrison Laminectomy Punch",Surgical,Neurosurgery.Laminectomy,no,116,"no-image; generic-category"
24-388-04,"EICKEN-KILLIAN",ENT,Ear & Nasal Speculums,no,21,"no-image; short-desc"
24-335-16,"Aufricht Nasal Hook",Orthopedic,Rasps & Files,no,26,"no-image; short-desc"
24-362-15,"Cottle Alar hooklet",Neurosurgery,Nerve Hooks,no,26,"no-image; short-desc"
22-144-02,"Bowman Lacrimal Probe / 0",General Surgery,Probes,no,41,"no-image; short-desc"
23-542-17,"TROELTSCH PERFORATORS",ENT,Ear & Nasal Forceps,no,21,"no-image; short-desc"
23-373-65,"Tilley Packing Forceps",ENT,Ear & Nasal Forceps,no,22,"no-image; short-desc"
23-314-10,"Konig Tuning Fork",ENT,Diagnostics,no,43,"no-image; short-desc"
04-354-20,"Yasargil Xtended Aneurysm Clip",Neurosurgery,Micro Instruments,no,40,"no-image; short-desc"
04-358-20,"Yasargil Xtended Aneurysm Clip",Neurosurgery,Micro Instruments,no,48,"no-image; short-desc"
04-374-20,"Yasargil Xtended Aneurysm Clip",Neurosurgery,Micro Instruments,no,49,"no-image; short-desc"
04-350-20,"Yasargil Xtended Aneurysm Clip",Neurosurgery,Micro Instruments,no,40,"no-image; short-desc"
20-505-01,"Thomas Uterine Curette",Orthopedic,Bone Curettes,no,44,"no-image; short-desc"
21-212-02,"Ovum Forceps",ENT,Ear & Nasal Forceps,no,25,"no-image; short-desc"
15-479-04,"Kerrison Laminectomy Punch",Surgical,Neurosurgery.Laminectomy,no,116,"no-image; generic-category"
19-140-16,"Spermatic Cord tissue hook",General Surgery,Tissue Forceps,no,33,"no-image; short-desc"
15-479-05,"Kerrison Laminectomy Punch",Surgical,Neurosurgery.Laminectomy,no,116,"no-image; generic-category"
09-225-04,"Fergusson Suction Cannula",General Surgery,Suction Tubes,no,39,"no-image; short-desc"
20-256-33,"Martin Uterine Sound 3 mm",Gynecology,Dilators & Sounds,no,32,"no-image; short-desc"
14-124-32,"Brunner Rib Shear",Cardiovascular,Rib Spreaders,no,39,"no-image; short-desc"
14-282-15,"Dardik Multi Purpose Vascular Clamp",Cardiovascular,Vascular Clamps,no,49,"no-image; short-desc"
13-633-08,"Hohmann bone lever narrow tip 8 mm",Orthopedic,Orthopedic Retractors,no,35,"no-image; short-desc"
13-390-01,"Volkmann Bone Curette",General Surgery,Retractors,no,42,"no-image; short-desc"
13-529-18,"Miller Bone File D/E cross cut 18cm Fig",Orthopedic,Rasps & Files,no,48,"no-image; short-desc"
13-402-01,"Bruns Bone Curette",Orthopedic,Bone Curettes,no,46,"no-image; short-desc"
13-336-20,"Shermann Bone Mallet 4oz",Orthopedic,Mallets,no,36,"no-image; short-desc"
13-265-02,"Partsch Gouge",Orthopedic,Osteotomes & Chisels,no,28,"no-image; short-desc"
13-320-10,"Lambotte Osteotome",Orthopedic,Osteotomes & Chisels,no,42,"no-image; short-desc"
13-263-02,"Partsch Chisel",Orthopedic,Osteotomes & Chisels,no,27,"no-image; short-desc"
12-174-00,"Spare Blade for Stille Plaster Shear (12-172-24)",Orthopedic,Bone Cutters,no,48,"no-image; short-desc"
12-166-00,"Spare Blade for Stille Plaster Shear (12-164-23)",Orthopedic,Bone Cutters,no,48,"no-image; short-desc"
12-170-00,"Spare Blade for Stille Plaster Shear (12-168-37)",Orthopedic,Bone Cutters,no,48,"no-image; short-desc"
06-218-01,"Konig Retractor",General Surgery,Retractors,no,34,"no-image; short-desc"
04-808-08,"Backhaus Towel Clamp",General Surgery,Towel Clamps,no,33,"no-image; short-desc"
04-774-01,"Rogers Haemostatic Forceps",ENT,Ear & Nasal Forceps,no,43,"no-image; short-desc"
04-438-20,"Yasargil Xtended Aneurysm Clip",Neurosurgery,Micro Instruments,no,40,"no-image; short-desc"
04-418-20,"Yasargil Xtended Aneurysm Clip",Neurosurgery,Micro Instruments,no,48,"no-image; short-desc"
04-768-19,"Heaney Haemostatic forceps",ENT,Ear & Nasal Forceps,no,43,"no-image; short-desc"
04-665-16,"Rochester Ochsner Forceps Straight",General Surgery,Hemostatic Forceps,no,41,"no-image; short-desc"
04-448-20,"Yasargil Xtended Aneurysm Clip",Neurosurgery,Micro Instruments,no,49,"no-image; short-desc"
04-416-20,"Yasargil Xtended Aneurysm Clip",Neurosurgery,Micro Instruments,no,48,"no-image; short-desc"
04-446-20,"Yasargil Xtended Aneurysm Clip",Neurosurgery,Micro Instruments,no,48,"no-image; short-desc"
04-758-18,"Negus Haemostatic forceps",ENT,Ear & Nasal Forceps,no,40,"no-image; short-desc"
04-424-20,"Yasargil Xtended Aneurysm Clip",Neurosurgery,Micro Instruments,no,48,"no-image; short-desc"
